filename,label
Abyssinian/oxford__Abyssinian_1.jpg,0
Abyssinian/oxford__Abyssinian_10.jpg,0
Abyssinian/oxford__Abyssinian_100.jpg,0
Abyssinian/oxford__Abyssinian_101.jpg,0
Abyssinian/oxford__Abyssinian_102.jpg,0
Abyssinian/oxford__Abyssinian_103.jpg,0
Abyssinian/oxford__Abyssinian_104.jpg,0
Abyssinian/oxford__Abyssinian_105.jpg,0
Abyssinian/oxford__Abyssinian_106.jpg,0
Abyssinian/oxford__Abyssinian_107.jpg,0
Abyssinian/oxford__Abyssinian_108.jpg,0
Abyssinian/oxford__Abyssinian_109.jpg,0
Abyssinian/oxford__Abyssinian_11.jpg,0
Abyssinian/oxford__Abyssinian_110.jpg,0
Abyssinian/oxford__Abyssinian_111.jpg,0
Abyssinian/oxford__Abyssinian_112.jpg,0
Abyssinian/oxford__Abyssinian_113.jpg,0
Abyssinian/oxford__Abyssinian_114.jpg,0
Abyssinian/oxford__Abyssinian_115.jpg,0
Abyssinian/oxford__Abyssinian_116.jpg,0
Abyssinian/oxford__Abyssinian_117.jpg,0
Abyssinian/oxford__Abyssinian_118.jpg,0
Abyssinian/oxford__Abyssinian_119.jpg,0
Abyssinian/oxford__Abyssinian_12.jpg,0
Abyssinian/oxford__Abyssinian_120.jpg,0
Abyssinian/oxford__Abyssinian_121.jpg,0
Abyssinian/oxford__Abyssinian_122.jpg,0
Abyssinian/oxford__Abyssinian_123.jpg,0
Abyssinian/oxford__Abyssinian_124.jpg,0
Abyssinian/oxford__Abyssinian_125.jpg,0
Abyssinian/oxford__Abyssinian_126.jpg,0
Abyssinian/oxford__Abyssinian_127.jpg,0
Abyssinian/oxford__Abyssinian_128.jpg,0
Abyssinian/oxford__Abyssinian_129.jpg,0
Abyssinian/oxford__Abyssinian_13.jpg,0
Abyssinian/oxford__Abyssinian_130.jpg,0
Abyssinian/oxford__Abyssinian_131.jpg,0
Abyssinian/oxford__Abyssinian_132.jpg,0
Abyssinian/oxford__Abyssinian_133.jpg,0
Abyssinian/oxford__Abyssinian_134.jpg,0
Abyssinian/oxford__Abyssinian_135.jpg,0
Abyssinian/oxford__Abyssinian_136.jpg,0
Abyssinian/oxford__Abyssinian_137.jpg,0
Abyssinian/oxford__Abyssinian_138.jpg,0
Abyssinian/oxford__Abyssinian_139.jpg,0
Abyssinian/oxford__Abyssinian_14.jpg,0
Abyssinian/oxford__Abyssinian_140.jpg,0
Abyssinian/oxford__Abyssinian_141.jpg,0
Abyssinian/oxford__Abyssinian_142.jpg,0
Abyssinian/oxford__Abyssinian_143.jpg,0
Abyssinian/oxford__Abyssinian_144.jpg,0
Abyssinian/oxford__Abyssinian_145.jpg,0
Abyssinian/oxford__Abyssinian_146.jpg,0
Abyssinian/oxford__Abyssinian_148.jpg,0
Abyssinian/oxford__Abyssinian_149.jpg,0
Abyssinian/oxford__Abyssinian_15.jpg,0
Abyssinian/oxford__Abyssinian_150.jpg,0
Abyssinian/oxford__Abyssinian_151.jpg,0
Abyssinian/oxford__Abyssinian_152.jpg,0
Abyssinian/oxford__Abyssinian_153.jpg,0
Abyssinian/oxford__Abyssinian_154.jpg,0
Abyssinian/oxford__Abyssinian_155.jpg,0
Abyssinian/oxford__Abyssinian_156.jpg,0
Abyssinian/oxford__Abyssinian_157.jpg,0
Abyssinian/oxford__Abyssinian_158.jpg,0
Abyssinian/oxford__Abyssinian_159.jpg,0
Abyssinian/oxford__Abyssinian_16.jpg,0
Abyssinian/oxford__Abyssinian_160.jpg,0
Abyssinian/oxford__Abyssinian_161.jpg,0
Abyssinian/oxford__Abyssinian_164.jpg,0
Abyssinian/oxford__Abyssinian_165.jpg,0
Abyssinian/oxford__Abyssinian_166.jpg,0
Abyssinian/oxford__Abyssinian_167.jpg,0
Abyssinian/oxford__Abyssinian_168.jpg,0
Abyssinian/oxford__Abyssinian_169.jpg,0
Abyssinian/oxford__Abyssinian_17.jpg,0
Abyssinian/oxford__Abyssinian_170.jpg,0
Abyssinian/oxford__Abyssinian_172.jpg,0
Abyssinian/oxford__Abyssinian_173.jpg,0
Abyssinian/oxford__Abyssinian_174.jpg,0
Abyssinian/oxford__Abyssinian_175.jpg,0
Abyssinian/oxford__Abyssinian_176.jpg,0
Abyssinian/oxford__Abyssinian_177.jpg,0
Abyssinian/oxford__Abyssinian_178.jpg,0
Abyssinian/oxford__Abyssinian_179.jpg,0
Abyssinian/oxford__Abyssinian_18.jpg,0
Abyssinian/oxford__Abyssinian_180.jpg,0
Abyssinian/oxford__Abyssinian_181.jpg,0
